DomainValueId;Description
648;Franco-arenosa-fina
649;Franco-arenosa-grossa
650;Nenhum (0%)
651;Muito pouco (0-2%)
652;Pouco (2-5%)
653;Comum (5-15%)
654;Muito (15-40%)
656;Dominante (> 80%)
657;Linha de pedra (qualquer conteúdo, mas concentrada a uma profundidade distinta de um horizonte)
659;Cascalho pequeno e médio 2-20 mm)
660;Cascalho médio (6-20 mm)
661;Cascalho médio e grande (6-60 mm)
662;Cascalho grande (20-60 mm)
663;Cascalho grande e calhaus (20-200 mm)
664;Calhaus (60-200 mm)
665;Calhaus e boulders (60-600 mm)
666;Matacão (200-600 mm)
667;Matacão e matacão grande (> 200 mm)
668;Matacão grande (> 600 mm)
669;Artefatos muito pequenos (< 2 mm)
670;Artefatos muito pequenos e pequenos (< 6 mm)
671;Artefatos pequenos (2-6 mm)
672;Artefatos pequenos e médios (2-20 mm)
673;Artefatos médios (6-20 mm)
674;Artefatos médios e grandes (> 6 mm)
675;Artefatos grandes (> 20 mm)
676;Plano
677;Angular
678;Sub-arredondado
679;Arredondado
680;Fresco ou ligeiramente intemperizado
681;Intemperizado
682;Fortemente intemperizado
683;Rocha ígnea
684;Rocha ígnea ácida
685;Rocha ígnea ácida: granito
686;Rocha ígnea ácida: granodiorito
687;Rocha ígnea ácida: quartzodiorito
688;Rocha ígnea ácida: riolito
689;Rocha ígnea intermediária
690;Rocha ígnea intermediária: andesito, traquito, fonólito
691;Rocha ígnea intermediária: diorito-sienito
692;Rocha ígnea básica
693;Rocha ígnea básica: gabro
694;Rocha ígnea básica: basalto
695;Rocha ígnea básica: dolerito
696;Rocha ígnea ultrabásica
697;Rocha ígnea ultrabásica: peridotito
698;Rocha ígnea ultrabásica: piroxenito
699;Rocha ígnea ultrabásica: ilmenita, magnetita, ironstone, serpentina
700;Rocha metamórfica
701;Rocha metamórfica ácida
702;Rocha metamórfica ácida: quartzito
703;Rocha metamórfica ácida: gnaisse, migmatito
704;Rocha metamórfica ácida: ardósia, filito, (rochas pelíticas)
705;Rocha metamórfica ácida: xisto
706;Rocha metamórfica básica
707;Rocha metamórfica básica: ardósia, filito (rochas pelíticas)
708;Rocha metamórfica básica: xisto
709;Rocha metamórfica básica: gnaisse rico em minerais ferro-magnesianos
710;Rocha metamórfica básica: calcário metamórfico (mármore)
711;Rocha sedimentar
712;Sedimentos clásticos
713;Sedimentos clásticos: conglomerado, brecha
714;Sedimentos clásticos: arenito, grauvaque, arcósio
715;Sedimentos clásticos: siltito, argilito (mudstone), argilito
716;Sedimentos clásticos: argilito (shale)
717;Sedimentos clásticos: ironstone
2251;Franco-arenosa
718;Rocha sedimentar orgânica
719;Rocha sedimentar orgânica: calcário, outras rochas carbonáticas
720;Rocha sedimentar orgânica: marga e outras misturas
721;Rocha sedimentar orgânica: carvões, betume e rochas relacionadas
722;Evaporitos
723;Evaporitos: anidrita, gipsita
