DomainId;Name
84;"Domínio de valores para subdivisão da fração areia (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
85;"Domínio de valores para estimativa da classe textural no campo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
86;"Domínio de valores para classificação da porosidade (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
87;"Domínio de valores para classificação dos vazios (poros) (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
88;"Domínio de valores para diâmetro dos vazios (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
89;"Domínio de valores para abundância de poros (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
90;"Domínio de valores para contraste dos revestimentos (coatings) (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
91;"Domínio de valores para natureza dos revestimentos (coatings) (definido em ""Guidelines for soil description - Third edition (Revised)"", Roma: FAO, 1990."
92;"Domínio de valores para forma dos revestimentos (coatings) (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
93;"Domínio de valores para localização dos revestimentos (coatings) (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
94;"Domínio de valores para continuidade da cimentação ou compactação (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
95;"Domínio de valores para estrutura da camada cimentada ou compactada (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
96;"Domínio de valores para natureza da cimentação ou compactação (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
97;"Domínio de valores para grau de cimentação ou compactação (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
98;"Domínio de valores para tipo de concentrações minerais (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
99;"Domínio de valores para tamanho das concentrações minerais, fragmentos grosseiros (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
100;"Domínio de valores para forma das concentrações minerais (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
101;"Domínio de valores para dureza das concentrações minerais e artefatos (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
102;"Domínio de valores para natureza das concentrações minerais (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
103;"Domínio de valores para cor dos mosqueados, artefatos e concentrações minerais (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
105;"Domínio de valores para abundância de raízes (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
106;"Domínio de valores para abundância de atividade biológica (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
107;"Domínio de valores para tipo de feições biológicas (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
108;"Domínio de valores para tipo de artefatos (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
109;"Domínio de valores para geoforma complexa (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
110;"Domínio de valores para odor do solo (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
111;"Domínio de valores para características ândicas (definido em ""Guidelines for soil description - Fourth edition"", Roma: FAO, 2006."
112;"Domínio de valores para geoforma principal (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
113;"Domínio de valores para relevo regional (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
114;"Domínio de valores para hipsometria (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
115;"Domínio de valores para dissecação (definido em ""Global and National Soils and Terrain Digital Database (SOTER) Procedures Manual"", Wageningen: ISRIC - World Soil Information, 1995."
